x	y	category	mutation_count
2	92	1	10925
2	97	1	10335
3	86	1	8332
3	92	1	6957
3	95	1	12383
3	96	1	8472
3	102	1	12113
3	105	1	8748
3	106	1	11938
3	112	1	8831
4	84	1	7925
4	86	1	11441
4	88	1	9277
4	89	1	7949
4	90	1	10857
4	91	1	10237
4	93	1	10491
4	94	1	8365
4	95	1	13222
4	96	1	12640
4	97	1	13516
4	99	1	7548
4	101	1	9113
4	102	1	12467
4	104	1	9484
4	105	1	10249
4	108	1	13499
4	109	1	12490
4	111	1	7358
4	112	1	9569
5	78	1	9162
5	79	1	11779
5	83	1	11471
5	86	1	7471
5	87	1	8559
5	88	1	10024
5	89	1	10486
5	90	1	9845
5	92	1	10402
5	93	1	12004
5	94	1	11067
5	95	1	7944
5	96	1	10714
5	97	1	9559
5	98	1	8845
5	99	1	9610
5	100	1	9427
5	101	1	9379
5	102	1	7617
5	103	1	9095
5	104	1	10009
5	105	1	10902
5	107	1	10382
5	110	1	9835
5	111	1	11054
5	112	1	10548
5	113	1	8696
5	114	1	9506
5	116	1	9564
5	121	1	13980
6	78	1	8714
6	79	1	10841
6	82	1	8283
6	83	1	9749
6	84	1	10061
6	86	1	10083
6	87	1	8137
6	88	1	11353
6	89	1	7624
6	90	1	9242
6	91	1	9691
6	92	1	10486
6	93	1	8372
6	94	1	10448
6	95	1	7199
6	96	1	10656
6	97	1	7443
6	98	1	8176
6	99	1	10681
6	100	1	8019
6	101	1	14894
6	102	1	9676
6	103	1	9678
6	104	1	13182
6	105	1	8368
6	106	1	8894
6	107	1	11796
6	108	1	9131
6	109	1	11690
6	110	1	7452
6	111	1	11360
6	112	1	12035
6	113	1	10570
6	114	1	7942
6	115	1	10164
6	117	1	7497
6	118	1	7163
6	119	1	10731
6	120	1	12266
6	122	1	8250
6	124	1	11150
6	125	1	6797
6	129	1	8637
7	78	1	8019
7	80	1	8575
7	81	1	12286
7	82	1	7641
7	83	1	11623
7	84	1	10376
7	85	1	9059
7	86	1	11482
7	87	1	8012
7	88	1	7404
7	89	1	10467
7	90	1	10651
7	91	1	9884
7	92	1	9574
7	93	1	9789
7	94	1	8368
7	95	1	7212
7	96	1	11384
7	97	1	12196
7	98	1	8316
7	99	1	10346
7	100	1	7871
7	101	1	10644
7	102	1	9874
7	103	1	13758
7	104	1	8102
7	105	1	9105
7	106	1	12175
7	107	1	7893
7	108	1	5624
7	109	1	9026
7	110	1	9980
7	111	1	9486
7	112	1	10757
7	113	1	9827
7	114	1	10733
7	115	1	9354
7	116	1	9103
7	117	1	9420
7	118	1	8915
7	119	1	10598
7	120	1	14037
7	121	1	11824
7	122	1	8812
7	123	1	10362
7	125	1	11195
7	126	1	12018
7	127	1	10945
7	129	1	8697
8	66	1	9203
8	68	1	9477
8	74	1	15029
8	75	1	12277
8	76	1	8013
8	77	1	8313
8	78	1	11069
8	79	1	14941
8	80	1	7180
8	81	1	12541
8	82	1	5301
8	83	1	7893
8	84	1	8074
8	85	1	8593
8	86	1	11140
8	87	1	8017
8	88	1	8581
8	89	1	8233
8	90	1	9825
8	91	1	9166
8	92	1	9265
8	93	1	11464
8	94	1	8750
8	95	1	8344
8	96	1	10284
8	97	1	9836
8	98	1	9451
8	99	1	8496
8	100	1	8635
8	101	1	9895
8	102	1	11497
8	103	1	7917
8	104	1	8227
8	105	1	10408
8	106	1	8790
8	107	1	12493
8	108	1	8613
8	109	1	9736
8	110	1	11770
8	111	1	7641
8	112	1	10961
8	113	1	10109
8	114	1	5858
8	115	1	12017
8	116	1	10092
8	117	1	9449
8	118	1	10325
8	119	1	7261
8	120	1	11732
8	121	1	10282
8	122	1	6912
8	124	1	9611
8	126	1	8135
8	128	1	12701
8	129	1	11867
8	131	1	8661
8	135	1	10408
9	66	1	9514
9	67	1	9885
9	69	1	5464
9	73	1	9654
9	74	1	9275
9	75	1	9606
9	76	1	10209
9	77	1	6745
9	78	1	10679
9	79	1	12088
9	80	1	10594
9	81	1	8134
9	82	1	9437
9	83	1	11599
9	84	1	8302
9	85	1	7423
9	86	1	8081
9	87	1	12175
9	88	1	10602
9	89	1	8302
9	90	1	9675
9	91	1	10439
9	92	1	8041
9	93	1	8641
9	94	1	12099
9	95	1	9976
9	96	1	8139
9	97	1	9796
9	98	1	7851
9	99	1	7506
9	100	1	12252
9	101	1	11373
9	102	1	9041
9	103	1	11244
9	104	1	10547
9	105	1	9465
9	106	1	8978
9	107	1	6866
9	108	1	8292
9	109	1	10418
9	110	1	13124
9	111	1	10367
9	112	1	12862
9	114	1	11006
9	115	1	7195
9	116	1	7427
9	117	1	7801
9	118	1	10606
9	119	1	10359
9	120	1	7852
9	121	1	6120
9	122	1	12301
9	123	1	9785
9	124	1	11617
9	125	1	6171
9	126	1	10511
9	127	1	12187
9	128	1	11747
9	129	1	8854
9	130	1	10208
10	67	1	10773
10	69	1	10818
10	70	1	10532
10	71	1	9507
10	72	1	7841
10	73	1	7857
10	74	1	9426
10	75	1	8527
10	76	1	6367
10	77	1	7307
10	78	1	10738
10	79	1	8637
10	80	1	8150
10	81	1	8408
10	82	1	14374
10	83	1	8402
10	84	1	8812
10	85	1	8336
10	86	1	8411
10	87	1	8126
10	88	1	12094
10	89	1	9866
10	90	1	6720
10	91	1	7991
10	92	1	8407
10	93	1	9310
10	94	1	7558
10	95	1	9525
10	96	1	10095
10	97	1	8143
10	98	1	8452
10	99	1	7980
10	100	1	10801
10	101	1	8701
10	102	1	9979
10	103	1	8168
10	104	1	9656
10	105	1	8761
10	106	1	9073
10	107	1	9629
10	108	1	10114
10	109	1	11038
10	110	1	8676
10	111	1	8255
10	112	1	8056
10	113	1	12433
10	114	1	7308
10	115	1	12019
10	116	1	8489
10	117	1	9248
10	118	1	10093
10	119	1	8774
10	120	1	8591
10	121	1	9613
10	122	1	9954
10	123	1	13230
10	124	1	13876
10	125	1	10015
10	126	1	6602
10	127	1	6498
10	128	1	10347
10	129	1	9896
10	132	1	10994
10	133	1	8390
10	135	1	10748
10	138	1	9134
11	66	1	7817
11	67	1	7953
11	68	1	9763
11	69	1	8901
11	70	1	8290
11	71	1	8036
11	72	1	11761
11	73	1	11499
11	74	1	9655
11	75	1	11205
11	76	1	10720
11	77	1	12681
11	78	1	9152
11	79	1	8300
11	80	1	6845
