x	y	category	mutation_count
0	60	1	8046
0	87	1	7075
1	59	1	7674
1	90	1	6426
1	99	1	7752
1	102	1	5442
2	111	1	5093
3	89	1	5119
4	152	1	5526
4	163	1	5560
5	83	1	6650
5	126	1	7374
5	149	1	10160
6	98	1	8042
6	125	1	8434
6	135	1	5316
7	106	1	6389
8	92	1	5088
8	105	1	4597
9	62	1	5874
9	94	1	7124
9	95	1	6618
9	107	1	7753
10	104	1	7391
10	116	1	6972
11	61	1	5168
11	91	1	7661
11	123	1	7453
12	66	1	5463
12	90	1	7878
12	93	1	7630
12	99	1	6321
13	92	1	3817
13	138	1	5948
13	155	1	3564
14	132	1	8118
15	65	1	4855
15	86	1	7713
15	102	1	6515
15	113	1	5443
15	147	1	6447
16	64	1	6069
16	74	1	7983
16	96	1	5987
16	99	1	8350
16	105	1	8044
16	106	1	7426
16	135	1	6940
16	137	1	4557
16	141	1	6018
17	77	1	5126
17	82	1	7309
17	88	1	8224
17	90	1	7430
17	111	1	5881
17	114	1	6586
18	56	1	7695
18	69	1	9037
18	100	1	6533
18	107	1	7604
18	113	1	8238
18	120	1	6903
18	121	1	9298
18	123	1	5537
18	171	1	5759
19	58	1	6986
19	59	1	6250
19	80	1	7768
19	87	1	5314
19	91	1	7066
19	92	1	5417
19	102	1	6700
19	103	1	6979
19	115	1	7348
20	60	1	5842
20	114	1	7935
20	118	1	6591
20	120	1	4595
20	123	1	6992
20	129	1	6214
20	132	1	6813
20	134	1	8781
20	140	1	5584
21	94	1	6800
21	97	1	7001
21	105	1	4183
21	114	1	5999
21	117	1	6124
21	124	1	8976
21	166	1	4628
22	75	1	5814
22	106	1	5018
22	110	1	7299
22	118	1	7453
22	120	1	7778
22	122	1	4234
22	131	1	6171
22	139	1	5521
22	141	1	7291
22	148	1	5316
23	42	1	5684
23	72	1	7073
23	81	1	6570
23	84	1	7136
23	89	1	4265
23	95	1	5766
23	108	1	6534
23	116	1	8470
23	120	1	5598
23	121	1	5639
