s_coef,death_rate,adv_rate,push_prop,mut_rate,sample_diameter,vaf_cutoff,seed,diameter,genetic_cluster,value_enn,value_lsi,chindex,sackin_value,sackin_p_value,mean_internal,mean_terminal,inter_terminal_ratio,genetic_class_num,sample_num,sackin_value_normalised,smallest_genetic_ratio,cat1,cat2,n_cross_edges,n_cat1,n_cat2,n_samples,silhouette_mean
0,0.3,0,0,0.6,16,0,54,200,2,0,1.25,2.047629339,131,NA,259.5,1288.846154,0.201342883,2,26,-0.670377894,0.115384615,1,2,11,3,23,26,0.149072706
0.4,0.3,1.00E-06,1,0.6,16,0,105,200,2,0,1.42,4.617245961,160,NA,47.4375,244.25,0.194216991,2,26,0.445006721,0.423076923,1,2,17,11,15,26,0.212798989
0.4,0.3,1.00E-06,1,0.6,16,0,197,200,2,0,1.38,2.819724044,150,NA,38.25757576,242.5138889,0.157754164,2,24,0.698083644,0.333333333,1,2,14,16,8,24,0.134267414
0.6,0.3,1.00E-06,1,0.6,16,0,192,200,2,0,1.35,2.982284561,99,NA,30.46428571,146.65625,0.207725792,2,16,1.426042014,0.375,1,2,11,6,10,16,0.179788952
0,0.3,0,0.4,0.6,16,0,76,200,2,0,1.38,4.158778461,125,NA,49.20454545,247.7916667,0.198572237,2,24,-0.343583022,0.458333333,1,2,14,11,13,24,0.205114066
0.6,0.3,1.00E-06,1,0.6,16,0,190,200,2,0,1.33,3.677788964,135,NA,46.04166667,230.2307692,0.19998051,2,26,-0.51653174,0.307692308,1,2,14,8,18,26,0.182445987
0.6,0.3,1.00E-06,1,0.6,16,0,1,200,2,0,1.19,3.116385278,52,NA,26.64814815,116.1666667,0.229395823,2,11,0.687518038,0.090909091,1,2,3,10,1,11,0.488887164
0.2,0.3,1.00E-06,1,0.6,16,0,78,200,2,0,1.33,3.677552122,129,NA,48.06818182,235.4791667,0.204129234,2,24,-0.176916356,0.5,1,2,15,12,12,24,0.180241785
0,0.3,0,0.2,0.6,16,0,58,200,2,0,1.29,3.483068658,116,NA,52.78787879,250.2777778,0.210917163,2,24,-0.718583022,0.416666667,1,2,15,10,14,24,0.171762713
0,0.3,0,0.4,0.6,16,0,70,200,3,0,1.5,3.354561162,137,NA,56.61111111,238.6858974,0.237178282,3,26,-0.439608663,0.269230769,1,2,5,7,8,15,0.277568106
