s_coef,death_rate,adv_rate,push_prop,mut_rate,sample_diameter,vaf_cutoff,seed,diameter,genetic_cluster,value_enn,value_lsi,chindex,sackin_value,sackin_p_value,mean_internal,mean_terminal,inter_terminal_ratio,genetic_class_num,sample_num,sackin_value_normalised,smallest_genetic_ratio,cat1,cat2,n_cross_edges,n_cat1,n_cat2,n_samples,silhouette_mean,whole_adv_freq
0.2,0.3,1.00E-06,1,0.6,16,0,33,200,2,0,1.38,4.412154534,143,NA,48,240.625,0.199480519,2,24,0.406416978,0.416666667,1,2,16,10,14,24,0.215680909,0
0.4,0.3,1.00E-06,1,0.6,16,0,193,200,2,0,1.35,2.711519327,77,NA,36.78571429,196.28125,0.187413287,2,16,0.051042014,0.3125,1,2,12,5,11,16,0.231020624,0.165169316
0.2,0.3,1.00E-06,1,0.6,16,0,92,200,2,0,1.38,3.55369212,130,NA,48.16666667,244.3653846,0.197109205,2,26,-0.708839432,0.423076923,1,2,17,15,11,26,0.159946812,0.013781513
0.4,0.3,1.00E-06,1,0.6,16,0,139,200,2,0.28,1.55,2.745339595,101,NA,37.75,220.85,0.170930496,2,20,-0.145479314,0.45,1,2,21,11,9,20,0.147590997,0.0353902
0.4,0.3,1.00E-06,1,0.6,16,0,194,200,3,0,1.42,3.956492859,142,NA,47.04,218.3518519,0.215432109,3,27,-0.523654247,0.296296296,1,2,8,8,10,18,0.245666758,0.025998143
0.4,0.3,1.00E-06,1,0.6,16,0,194,200,3,0,1.42,3.956492859,142,NA,47.04,218.3518519,0.215432109,3,27,-0.523654247,0.296296296,1,3,7,8,9,17,0.265803896,0.025998143
0.4,0.3,1.00E-06,1,0.6,16,0,194,200,3,0,1.42,3.956492859,142,NA,47.04,218.3518519,0.215432109,3,27,-0.523654247,0.296296296,2,3,7,10,9,19,0.222669891,0.025998143
0.2,0.3,1.00E-06,1,0.6,16,0,94,200,2,0,1.38,5.237078915,134,NA,43.43181818,234.8541667,0.18493101,2,24,0.031416978,0.416666667,1,2,18,14,10,24,0.263353069,0.071526823
0.6,0.3,1.00E-06,1,0.6,16,0,11,200,2,0,1.25,3.209374496,147,NA,40.85416667,237.0769231,0.172324519,2,26,-0.054993279,0.230769231,1,2,12,6,20,26,0.179506197,0
0.6,0.3,1.00E-06,1,0.6,16,0,86,200,2,0,1.25,3.421923333,69,NA,16.16666667,120.9791667,0.133631824,2,16,-0.448957986,0.1875,1,2,8,3,13,16,0.391164651,0.309971098
0.6,0.3,1.00E-06,1,0.6,16,0,189,200,2,0,1.38,3.209701329,132,NA,39.61111111,240.6282051,0.164615412,2,26,-0.631916356,0.423076923,1,2,14,11,15,26,0.146777726,0
0.6,0.3,1.00E-06,1,0.6,16,0,66,200,2,0,1.28,3.567386003,84,NA,34.53333333,155.9705882,0.221409265,2,17,0.062071425,0.235294118,1,2,10,4,13,17,0.329563644,0.333094556
0.4,0.3,1.00E-06,1,0.6,16,0,46,200,2,0,1.28,2.462615505,45,NA,28.56666667,150.5277778,0.189776712,2,12,-0.456421356,0.333333333,1,2,8,4,8,12,0.20051571,0.404480398
0.6,0.3,1.00E-06,1,0.6,16,0,194,200,2,0,1.25,3.848762603,68,NA,26.76923077,142.6666667,0.187634795,2,15,-0.103124653,0.2,1,2,8,3,12,15,0.41664272,0.370530878
0.4,0.3,1.00E-06,1,0.6,16,0,21,200,2,0,1.42,2.736639227,133,NA,42.14583333,235.0384615,0.179314624,2,26,-0.593454817,0.269230769,1,2,17,7,19,26,0.1382853,0
