sample,mutation_count,min_distance,location,max_distance,s_coef,death_rate,adv_rate,push_prop,mut_rate,sample_diameter,seed
S1,668,4.472135955,edge,280.7222827,0,0.3,0,1,0.6,8,100
S2,579,16.1245155,edge,280.7222827,0,0.3,0,1,0.6,8,100
S3,595,25.49509757,edge,280.7222827,0,0.3,0,1,0.6,8,100
S4,567,28.0713377,edge,280.7222827,0,0.3,0,1,0.6,8,100
S5,646,21.9317122,edge,280.7222827,0,0.3,0,1,0.6,8,100
S6,683,11.40175425,edge,280.7222827,0,0.3,0,1,0.6,8,100
S7,630,17,edge,280.7222827,0,0.3,0,1,0.6,8,100
S8,588,36.24913792,edge,280.7222827,0,0.3,0,1,0.6,8,100
S9,507,46.95742753,edge,280.7222827,0,0.3,0,1,0.6,8,100
S10,536,51.92301994,edge,280.7222827,0,0.3,0,1,0.6,8,100
S11,604,42.72001873,edge,280.7222827,0,0.3,0,1,0.6,8,100
S12,591,29,edge,280.7222827,0,0.3,0,1,0.6,8,100
S13,696,8.062257748,edge,280.7222827,0,0.3,0,1,0.6,8,100
S14,590,25.17935662,edge,280.7222827,0,0.3,0,1,0.6,8,100
S15,528,49.04079934,edge,280.7222827,0,0.3,0,1,0.6,8,100
S16,537,69.0651866,edge,280.7222827,0,0.3,0,1,0.6,8,100
S17,497,74.94664769,center,280.7222827,0,0.3,0,1,0.6,8,100
S18,563,61.32699243,edge,280.7222827,0,0.3,0,1,0.6,8,100
S19,603,39.56008089,edge,280.7222827,0,0.3,0,1,0.6,8,100
S20,621,18,edge,280.7222827,0,0.3,0,1,0.6,8,100
S21,676,8.544003745,edge,280.7222827,0,0.3,0,1,0.6,8,100
S22,578,31.78049716,edge,280.7222827,0,0.3,0,1,0.6,8,100
S23,577,55.36244214,edge,280.7222827,0,0.3,0,1,0.6,8,100
S24,550,77.02596965,center,280.7222827,0,0.3,0,1,0.6,8,100
S25,526,87.7268488,center,280.7222827,0,0.3,0,1,0.6,8,100
S26,499,66.76076692,edge,280.7222827,0,0.3,0,1,0.6,8,100
S27,564,44.28317965,edge,280.7222827,0,0.3,0,1,0.6,8,100
S28,635,21.02379604,edge,280.7222827,0,0.3,0,1,0.6,8,100
S29,637,23.60084744,edge,280.7222827,0,0.3,0,1,0.6,8,100
S30,604,44.29446918,edge,280.7222827,0,0.3,0,1,0.6,8,100
S31,578,61.46543744,edge,280.7222827,0,0.3,0,1,0.6,8,100
S32,559,64.77653896,edge,280.7222827,0,0.3,0,1,0.6,8,100
S33,561,56.93856338,edge,280.7222827,0,0.3,0,1,0.6,8,100
S34,561,36.23534186,edge,280.7222827,0,0.3,0,1,0.6,8,100
S35,625,14.86606875,edge,280.7222827,0,0.3,0,1,0.6,8,100
S36,746,12.20655562,edge,280.7222827,0,0.3,0,1,0.6,8,100
S37,626,29.06888371,edge,280.7222827,0,0.3,0,1,0.6,8,100
S38,624,39.2173431,edge,280.7222827,0,0.3,0,1,0.6,8,100
S39,629,41.23105626,edge,280.7222827,0,0.3,0,1,0.6,8,100
S40,605,34.17601498,edge,280.7222827,0,0.3,0,1,0.6,8,100
S41,587,24.18677324,edge,280.7222827,0,0.3,0,1,0.6,8,100
S42,725,3.605551275,edge,280.7222827,0,0.3,0,1,0.6,8,100
S43,729,9,edge,280.7222827,0,0.3,0,1,0.6,8,100
S44,679,16.4924225,edge,280.7222827,0,0.3,0,1,0.6,8,100
S45,674,18.38477631,edge,280.7222827,0,0.3,0,1,0.6,8,100
S46,686,13.03840481,edge,280.7222827,0,0.3,0,1,0.6,8,100
S47,690,4.472135955,edge,280.7222827,0,0.3,0,1,0.6,8,100
S1,758,5.099019514,edge,278.6000718,0,0.3,0,1,0.6,8,10
S2,715,5,edge,278.6000718,0,0.3,0,1,0.6,8,10
S3,609,16.55294536,edge,278.6000718,0,0.3,0,1,0.6,8,10
S4,599,25.8069758,edge,278.6000718,0,0.3,0,1,0.6,8,10
S5,602,29.01723626,edge,278.6000718,0,0.3,0,1,0.6,8,10
S6,655,22.02271555,edge,278.6000718,0,0.3,0,1,0.6,8,10
S7,660,12.08304597,edge,278.6000718,0,0.3,0,1,0.6,8,10
S8,627,18.38477631,edge,278.6000718,0,0.3,0,1,0.6,8,10
S9,625,38.07886553,edge,278.6000718,0,0.3,0,1,0.6,8,10
S10,578,47.4341649,edge,278.6000718,0,0.3,0,1,0.6,8,10
S11,580,52.80151513,edge,278.6000718,0,0.3,0,1,0.6,8,10
S12,604,43.32435804,edge,278.6000718,0,0.3,0,1,0.6,8,10
S13,581,28.16025568,edge,278.6000718,0,0.3,0,1,0.6,8,10
S14,634,7.615773106,edge,278.6000718,0,0.3,0,1,0.6,8,10
S15,649,27.29468813,edge,278.6000718,0,0.3,0,1,0.6,8,10
S16,594,49.64876635,edge,278.6000718,0,0.3,0,1,0.6,8,10
S17,596,70.21395873,center,278.6000718,0,0.3,0,1,0.6,8,10
S18,558,75.2861209,center,278.6000718,0,0.3,0,1,0.6,8,10
S19,546,60.20797289,edge,278.6000718,0,0.3,0,1,0.6,8,10
S20,568,39.44616585,edge,278.6000718,0,0.3,0,1,0.6,8,10
S21,656,16.4924225,edge,278.6000718,0,0.3,0,1,0.6,8,10
S22,749,8.062257748,edge,278.6000718,0,0.3,0,1,0.6,8,10
S23,656,30.3644529,edge,278.6000718,0,0.3,0,1,0.6,8,10
S24,571,53.75872022,edge,278.6000718,0,0.3,0,1,0.6,8,10
S25,540,76.32168761,center,278.6000718,0,0.3,0,1,0.6,8,10
S26,553,86.88498144,center,278.6000718,0,0.3,0,1,0.6,8,10
S27,591,64.62197769,edge,278.6000718,0,0.3,0,1,0.6,8,10
S28,585,43.08131846,edge,278.6000718,0,0.3,0,1,0.6,8,10
S29,644,19.92485885,edge,278.6000718,0,0.3,0,1,0.6,8,10
S30,637,22.84731932,edge,278.6000718,0,0.3,0,1,0.6,8,10
S31,571,45.80392996,edge,278.6000718,0,0.3,0,1,0.6,8,10
S32,537,60.00833275,edge,278.6000718,0,0.3,0,1,0.6,8,10
S33,550,63.60031446,edge,278.6000718,0,0.3,0,1,0.6,8,10
S34,542,55.22680509,edge,278.6000718,0,0.3,0,1,0.6,8,10
S35,555,34.88552709,edge,278.6000718,0,0.3,0,1,0.6,8,10
S36,672,12,edge,278.6000718,0,0.3,0,1,0.6,8,10
S37,618,12.52996409,edge,278.6000718,0,0.3,0,1,0.6,8,10
S38,575,27.73084925,edge,278.6000718,0,0.3,0,1,0.6,8,10
S39,550,37.36308338,edge,278.6000718,0,0.3,0,1,0.6,8,10
S40,563,40.60788101,edge,278.6000718,0,0.3,0,1,0.6,8,10
S41,566,33.83784863,edge,278.6000718,0,0.3,0,1,0.6,8,10
S42,588,21.40093456,edge,278.6000718,0,0.3,0,1,0.6,8,10
S43,662,7,edge,278.6000718,0,0.3,0,1,0.6,8,10
S44,618,15.23154621,edge,278.6000718,0,0.3,0,1,0.6,8,10
S45,594,17.2626765,edge,278.6000718,0,0.3,0,1,0.6,8,10
S46,607,11.18033989,edge,278.6000718,0,0.3,0,1,0.6,8,10
S1,683,4.123105626,edge,280.0142853,0,0.3,0,1,0.6,8,11
S2,632,15,edge,280.0142853,0,0.3,0,1,0.6,8,11
S3,650,23.32380758,edge,280.0142853,0,0.3,0,1,0.6,8,11
S4,605,27.85677655,edge,280.0142853,0,0.3,0,1,0.6,8,11
S5,611,20.39607805,edge,280.0142853,0,0.3,0,1,0.6,8,11
S6,650,9.486832981,edge,280.0142853,0,0.3,0,1,0.6,8,11
S7,634,17.2626765,edge,280.0142853,0,0.3,0,1,0.6,8,11
S8,587,34.0147027,edge,280.0142853,0,0.3,0,1,0.6,8,11
S9,540,45.607017,edge,280.0142853,0,0.3,0,1,0.6,8,11
S10,523,50.59644256,edge,280.0142853,0,0.3,0,1,0.6,8,11
S11,535,41.67733197,edge,280.0142853,0,0.3,0,1,0.6,8,11
S12,608,27.78488798,edge,280.0142853,0,0.3,0,1,0.6,8,11
S13,653,7,edge,280.0142853,0,0.3,0,1,0.6,8,11
S14,632,26.41968963,edge,280.0142853,0,0.3,0,1,0.6,8,11
S15,586,48.76474136,edge,280.0142853,0,0.3,0,1,0.6,8,11
S16,553,66.85057965,edge,280.0142853,0,0.3,0,1,0.6,8,11
S17,511,73.53910524,center,280.0142853,0,0.3,0,1,0.6,8,11
S18,516,60.00833275,edge,280.0142853,0,0.3,0,1,0.6,8,11
S19,496,39.20459157,edge,280.0142853,0,0.3,0,1,0.6,8,11
S20,611,15.8113883,edge,280.0142853,0,0.3,0,1,0.6,8,11
S21,663,8.062257748,edge,280.0142853,0,0.3,0,1,0.6,8,11
S22,576,30.59411708,edge,280.0142853,0,0.3,0,1,0.6,8,11
S23,536,53.60037313,edge,280.0142853,0,0.3,0,1,0.6,8,11
S24,559,76.15773106,center,280.0142853,0,0.3,0,1,0.6,8,11
S25,527,88.1192374,center,280.0142853,0,0.3,0,1,0.6,8,11
S26,540,67.62396025,edge,280.0142853,0,0.3,0,1,0.6,8,11
S27,550,44.64302857,edge,280.0142853,0,0.3,0,1,0.6,8,11
S28,615,22.47220505,edge,280.0142853,0,0.3,0,1,0.6,8,11
S29,580,22.8035085,edge,280.0142853,0,0.3,0,1,0.6,8,11
S30,538,45.27692569,edge,280.0142853,0,0.3,0,1,0.6,8,11
S31,565,60.90155991,edge,280.0142853,0,0.3,0,1,0.6,8,11
S32,545,65.4599114,edge,280.0142853,0,0.3,0,1,0.6,8,11
S33,505,56.61271942,edge,280.0142853,0,0.3,0,1,0.6,8,11
S34,540,36.40054945,edge,280.0142853,0,0.3,0,1,0.6,8,11
S35,601,14.31782106,edge,280.0142853,0,0.3,0,1,0.6,8,11
S36,602,13,edge,280.0142853,0,0.3,0,1,0.6,8,11
S37,567,28.60069929,edge,280.0142853,0,0.3,0,1,0.6,8,11
S38,552,39.2173431,edge,280.0142853,0,0.3,0,1,0.6,8,11
S39,541,42.04759208,edge,280.0142853,0,0.3,0,1,0.6,8,11
S40,552,34.4818793,edge,280.0142853,0,0.3,0,1,0.6,8,11
