mut_id	depth1	S1	depth2	S2	depth3	S3	depth4	S4	depth5	S5	depth6	S6	depth7	S7	depth8	S8	depth9	S9	depth10	S10	depth11	S11	depth12	S12	depth13	S13	depth14	S14	depth15	S15	depth16	S16	depth17	S17	depth18	S18	depth19	S19	
-0	108	0.5277777777777778	38	0.5789473684210527	39	0.4358974358974359	123	0.43902439024390244	68	0.5882352941176471	175	0.5428571428571428	41	0.4634146341463415	42	0.6190476190476191	205	0.4975609756097561	40	0.6	92	0.5108695652173914	227	0.4977973568281938	47	0.40425531914893614	23	0.5652173913043478	39	0.4358974358974359	69	0.4782608695652174	119	0.5210084033613446	40	0.525	192	0.5364583333333334	
-1	51	0.5294117647058824	172	0.436046511627907	40	0.425	123	0.5121951219512195	86	0.5348837209302325	45	0.4888888888888889	86	0.46511627906976744	145	0.4689655172413793	179	0.5865921787709497	153	0.5686274509803921	124	0.5806451612903226	29	0.4482758620689655	73	0.684931506849315	90	0.5555555555555556	78	0.5128205128205128	45	0.4888888888888889	24	0.4583333333333333	15	0.4666666666666667	223	0.5022421524663677	
-2	84	0.5	15	0.4666666666666667	231	0.4588744588744589	83	0.5060240963855421	116	0.4827586206896552	163	0.50920245398773	42	0.3333333333333333	181	0.4972375690607735	24	0.3333333333333333	84	0.4642857142857143	38	0.5526315789473685	133	0.5413533834586466	76	0.4473684210526316	88	0.5113636363636364	22	0.45454545454545453	107	0.4766355140186916	105	0.4857142857142857	77	0.5194805194805194	64	0.40625	
-3	120	0.5083333333333333	53	0.5660377358490566	52	0.7115384615384616	107	0.4953271028037383	144	0.4930555555555556	112	0.5178571428571429	157	0.5031847133757962	141	0.5035460992907801	34	0.3235294117647059	82	0.6463414634146342	133	0.556390977443609	76	0.40789473684210525	86	0.5697674418604651	78	0.47435897435897434	24	0.5833333333333334	38	0.5	17	0.4117647058823529	321	0.48909657320872274	47	0.5106382978723404	
-4	53	0.49056603773584906	41	0.43902439024390244	231	0.42424242424242425	97	0.4639175257731959	46	0.6956521739130435	77	0.4935064935064935	45	0.4444444444444444	137	0.4744525547445255	176	0.5056818181818182	123	0.5853658536585366	158	0.43037974683544306	56	0.5	294	0.5034013605442177	125	0.496	138	0.463768115942029	117	0.5641025641025641	73	0.4520547945205479	174	0.4885057471264368	35	0.4857142857142857	
-5	52	0.5961538461538461	74	0.5675675675675675	108	0.4722222222222222	48	0.5625	16	0.5	114	0.4824561403508772	298	0.4865771812080537	23	0.5217391304347826	158	0.5632911392405063	53	0.49056603773584906	47	0.5531914893617021	50	0.42	28	0.6785714285714286	59	0.423728813559322	37	0.5675675675675675	280	0.5	37	0.5135135135135135	196	0.4489795918367347	53	0.4528301886792453	
-6	102	0.47058823529411764	174	0.4425287356321839	57	0.45614035087719296	59	0.4576271186440678	113	0.5663716814159292	105	0.49523809523809526	57	0.42105263157894735	26	0.4230769230769231	139	0.460431654676259	45	0.4666666666666667	34	0.5882352941176471	69	0.4927536231884058	98	0.5102040816326531	45	0.5333333333333333	93	0.5161290322580645	138	0.5144927536231884	100	0.39	65	0.4307692307692308	231	0.5281385281385281	
-7	106	0.5566037735849056	160	0.5375	219	0.4977168949771689	149	0.4697986577181208	88	0.5	95	0.4631578947368421	75	0.4666666666666667	71	0.5633802816901409	61	0.4426229508196721	84	0.5952380952380952	251	0.49800796812749004	114	0.43859649122807015	49	0.4489795918367347	86	0.5465116279069767	281	0.5551601423487544	99	0.5656565656565656	114	0.5350877192982456	177	0.5028248587570622	118	0.4576271186440678	
-8	62	0.5806451612903226	64	0.515625	33	0.5151515151515151	77	0.44155844155844154	66	0.4090909090909091	188	0.526595744680851	107	0.4766355140186916	52	0.4807692307692308	160	0.4875	200	0.535	226	0.49557522123893805	37	0.35135135135135137	26	0.5	192	0.515625	23	0.43478260869565216	116	0.4827586206896552	88	0.45454545454545453	275	0.5236363636363637	33	0.45454545454545453	
-9	102	0.47058823529411764	72	0.4166666666666667	124	0.5161290322580645	94	0.5531914893617021	95	0.5052631578947369	110	0.4818181818181818	37	0.6216216216216216	18	0.5555555555555556	161	0.515527950310559	164	0.4817073170731707	61	0.4262295081967213	52	0.5576923076923077	87	0.6206896551724138	228	0.5175438596491229	104	0.5096153846153846	135	0.5481481481481482	117	0.47863247863247865	194	0.42783505154639173	32	0.375	
