mut_id	depth1	S1	depth2	S2	depth3	S3	depth4	S4	depth5	S5	depth6	S6	depth7	S7	depth8	S8	depth9	S9	depth10	S10	depth11	S11	depth12	S12	depth13	S13	depth14	S14	depth15	S15	depth16	S16	depth17	S17	depth18	S18	depth19	S19	depth20	S20	depth21	S21	depth22	S22	depth23	S23	depth24	S24	
-0	50	0.4	121	0.48760330578512395	37	0.5405405405405406	165	0.4909090909090909	222	0.4774774774774775	227	0.4933920704845815	56	0.42857142857142855	15	0.4666666666666667	20	0.5	29	0.4827586206896552	40	0.575	140	0.5071428571428571	60	0.4166666666666667	123	0.5934959349593496	39	0.4358974358974359	50	0.5	18	0.6111111111111112	64	0.59375	217	0.5576036866359447	144	0.5416666666666666	136	0.45588235294117646	51	0.39215686274509803	136	0.5073529411764706	34	0.7058823529411765	
-1	204	0.45098039215686275	34	0.35294117647058826	65	0.5846153846153846	93	0.5268817204301075	175	0.52	149	0.5100671140939598	35	0.5714285714285714	74	0.527027027027027	47	0.574468085106383	82	0.5365853658536586	69	0.5362318840579711	391	0.5217391304347826	19	0.6842105263157895	59	0.4576271186440678	145	0.5103448275862069	78	0.5	121	0.5206611570247934	174	0.5574712643678161	80	0.4125	261	0.5632183908045977	88	0.4772727272727273	131	0.40458015267175573	50	0.52	191	0.4816753926701571	
-2	69	0.43478260869565216	62	0.46774193548387094	43	0.4418604651162791	23	0.43478260869565216	28	0.7142857142857143	175	0.44	98	0.4387755102040816	51	0.49019607843137253	35	0.5428571428571428	42	0.5238095238095238	101	0.504950495049505	28	0.42857142857142855	56	0.6071428571428571	24	0.5	67	0.5671641791044776	287	0.49825783972125437	113	0.46017699115044247	26	0.5	199	0.5175879396984925	39	0.38461538461538464	186	0.5053763440860215	133	0.45112781954887216	108	0.5092592592592593	212	0.49056603773584906	
-3	79	0.4050632911392405	128	0.5078125	63	0.5873015873015873	146	0.5205479452054794	26	0.5	191	0.5130890052356021	177	0.5084745762711864	74	0.43243243243243246	34	0.5882352941176471	56	0.4107142857142857	48	0.4375	53	0.6226415094339622	56	0.44642857142857145	84	0.38095238095238093	172	0.47674418604651164	198	0.5202020202020202	29	0.4827586206896552	33	0.48484848484848486	149	0.5234899328859061	37	0.5135135135135135	41	0.5365853658536586	40	0.475	259	0.5212355212355212	39	0.48717948717948717	
-4	184	0.5	36	0.7222222222222222	44	0.5227272727272727	50	0.56	46	0.5652173913043478	74	0.5135135135135135	15	0.5333333333333333	87	0.5287356321839081	90	0.4666666666666667	169	0.5266272189349113	34	0.38235294117647056	47	0.5319148936170213	72	0.4722222222222222	17	0.5294117647058824	125	0.552	62	0.5483870967741935	45	0.37777777777777777	140	0.5285714285714286	31	0.4838709677419355	117	0.5726495726495726	217	0.5161290322580645	82	0.524390243902439	46	0.45652173913043476	18	0.5555555555555556	
-5	54	0.5185185185185185	42	0.47619047619047616	106	0.4056603773584906	63	0.49206349206349204	64	0.484375	53	0.33962264150943394	90	0.45555555555555555	20	0.35	258	0.49612403100775193	178	0.4943820224719101	87	0.5287356321839081	122	0.5245901639344263	37	0.4594594594594595	157	0.5668789808917197	210	0.44761904761904764	119	0.4369747899159664	51	0.5294117647058824	73	0.4246575342465753	59	0.4576271186440678	80	0.45	174	0.5229885057471264	51	0.5098039215686274	50	0.62	152	0.48026315789473684	
-6	66	0.5303030303030303	285	0.543859649122807	158	0.4620253164556962	48	0.625	194	0.5773195876288659	66	0.42424242424242425	97	0.5154639175257731	139	0.5035971223021583	28	0.6428571428571429	200	0.525	195	0.49743589743589745	88	0.5795454545454546	430	0.513953488372093	19	0.5263157894736842	37	0.5675675675675675	83	0.5662650602409639	165	0.49696969696969695	57	0.45614035087719296	90	0.4666666666666667	26	0.34615384615384615	21	0.47619047619047616	63	0.5714285714285714	35	0.5428571428571428	91	0.5604395604395604	
-7	41	0.4878048780487805	274	0.5	161	0.43478260869565216	138	0.5652173913043478	43	0.5348837209302325	20	0.7	157	0.5031847133757962	41	0.5365853658536586	75	0.49333333333333335	137	0.5328467153284672	21	0.5714285714285714	266	0.48120300751879697	95	0.5894736842105263	101	0.5346534653465347	146	0.5616438356164384	30	0.4666666666666667	116	0.5258620689655172	145	0.5241379310344828	94	0.5212765957446809	29	0.41379310344827586	138	0.5144927536231884	51	0.4117647058823529	182	0.46153846153846156	59	0.5084745762711864	
-8	130	0.49230769230769234	131	0.5038167938931297	51	0.5098039215686274	151	0.4370860927152318	38	0.47368421052631576	48	0.4375	33	0.45454545454545453	169	0.46153846153846156	175	0.48	71	0.4507042253521127	88	0.48863636363636365	54	0.42592592592592593	140	0.42857142857142855	62	0.5	277	0.5090252707581228	70	0.45714285714285713	15	0.6666666666666666	281	0.5444839857651246	133	0.48872180451127817	22	0.45454545454545453	154	0.474025974025974	51	0.5294117647058824	34	0.5588235294117647	64	0.484375	
-9	68	0.5882352941176471	54	0.4074074074074074	84	0.5476190476190477	131	0.4732824427480916	133	0.47368421052631576	128	0.4765625	204	0.5294117647058824	90	0.5555555555555556	302	0.44370860927152317	96	0.4895833333333333	67	0.40298507462686567	85	0.4823529411764706	220	0.4818181818181818	188	0.4521276595744681	77	0.4935064935064935	20	0.4	74	0.44594594594594594	126	0.5476190476190477	19	0.631578947368421	238	0.5042016806722689	60	0.5333333333333333	79	0.5316455696202531	166	0.5421686746987951	130	0.49230769230769234	
