mut_id	depth1	S1	depth2	S2	depth3	S3	depth4	S4	depth5	S5	depth6	S6	depth7	S7	depth8	S8	depth9	S9	depth10	S10	depth11	S11	depth12	S12	depth13	S13	depth14	S14	depth15	S15	depth16	S16	depth17	S17	depth18	S18	depth19	S19	depth20	S20	depth21	S21	depth22	S22	depth23	S23	depth24	S24	depth25	S25	depth26	S26	depth27	S27	depth28	S28	
-0	133	0.5112781954887218	122	0.5	274	0.4635036496350365	180	0.4388888888888889	183	0.43169398907103823	63	0.38095238095238093	58	0.39655172413793105	177	0.4689265536723164	258	0.4844961240310077	244	0.4918032786885246	49	0.5102040816326531	148	0.5337837837837838	73	0.4931506849315068	341	0.49560117302052786	167	0.5748502994011976	42	0.4523809523809524	101	0.5643564356435643	37	0.5945945945945946	136	0.47794117647058826	24	0.5833333333333334	190	0.48947368421052634	43	0.5348837209302325	54	0.6111111111111112	130	0.5461538461538461	238	0.5378151260504201	42	0.5952380952380952	65	0.49230769230769234	34	0.38235294117647056	
-1	96	0.5416666666666666	62	0.5	204	0.5147058823529411	68	0.4264705882352941	96	0.4583333333333333	82	0.5	36	0.4722222222222222	258	0.437984496124031	81	0.5308641975308642	109	0.46788990825688076	29	0.5517241379310345	15	0.3333333333333333	91	0.5384615384615384	188	0.5478723404255319	57	0.47368421052631576	153	0.5359477124183006	49	0.2857142857142857	164	0.5304878048780488	76	0.5131578947368421	258	0.4844961240310077	51	0.5294117647058824	219	0.502283105022831	149	0.4966442953020134	15	0.4666666666666667	180	0.5388888888888889	147	0.5034013605442177	67	0.582089552238806	15	0.6	
-2	146	0.5205479452054794	155	0.4774193548387097	85	0.4823529411764706	18	0.3333333333333333	75	0.49333333333333335	140	0.4785714285714286	80	0.5125	117	0.5384615384615384	95	0.3684210526315789	88	0.5227272727272727	105	0.5238095238095238	46	0.4782608695652174	243	0.48148148148148145	45	0.5555555555555556	113	0.4778761061946903	28	0.42857142857142855	58	0.39655172413793105	160	0.425	88	0.48863636363636365	67	0.4925373134328358	40	0.5	34	0.6176470588235294	54	0.4444444444444444	49	0.42857142857142855	127	0.5275590551181102	93	0.4731182795698925	28	0.42857142857142855	73	0.5068493150684932	
-3	57	0.38596491228070173	56	0.5357142857142857	126	0.46825396825396826	83	0.5662650602409639	40	0.375	38	0.5526315789473685	77	0.42857142857142855	25	0.48	47	0.48936170212765956	68	0.5147058823529411	18	0.4444444444444444	123	0.5284552845528455	237	0.5316455696202531	122	0.5	24	0.75	53	0.4528301886792453	93	0.6129032258064516	31	0.3870967741935484	106	0.5094339622641509	81	0.4444444444444444	77	0.5064935064935064	118	0.4067796610169492	212	0.5047169811320755	108	0.46296296296296297	65	0.4461538461538462	44	0.38636363636363635	111	0.44144144144144143	159	0.5157232704402516	
-4	110	0.4909090909090909	87	0.5517241379310345	20	0.5	184	0.4782608695652174	37	0.5405405405405406	91	0.45054945054945056	101	0.5346534653465347	56	0.48214285714285715	87	0.5632183908045977	56	0.5	15	0.4	67	0.43283582089552236	45	0.4444444444444444	24	0.4166666666666667	57	0.49122807017543857	23	0.4782608695652174	41	0.4634146341463415	159	0.4716981132075472	39	0.38461538461538464	32	0.5	178	0.550561797752809	82	0.4146341463414634	62	0.5806451612903226	50	0.52	28	0.42857142857142855	86	0.5348837209302325	25	0.68	147	0.5238095238095238	
-5	49	0.46938775510204084	195	0.5641025641025641	91	0.5934065934065934	85	0.6	40	0.45	91	0.4835164835164835	36	0.5	36	0.5833333333333334	81	0.4444444444444444	141	0.4397163120567376	117	0.5555555555555556	124	0.5645161290322581	71	0.5211267605633803	47	0.3829787234042553	184	0.4673913043478261	45	0.5555555555555556	80	0.525	54	0.5555555555555556	68	0.5147058823529411	226	0.4690265486725664	81	0.5308641975308642	29	0.5172413793103449	46	0.5652173913043478	43	0.627906976744186	54	0.5	180	0.4666666666666667	131	0.5343511450381679	142	0.5422535211267606	
-6	52	0.5192307692307693	78	0.5512820512820513	36	0.5277777777777778	159	0.5534591194968553	178	0.43258426966292135	61	0.5081967213114754	19	0.47368421052631576	123	0.5691056910569106	34	0.5294117647058824	53	0.5094339622641509	264	0.4356060606060606	104	0.5384615384615384	134	0.5223880597014925	308	0.4675324675324675	141	0.48226950354609927	101	0.45544554455445546	87	0.5747126436781609	109	0.43119266055045874	148	0.41216216216216217	61	0.4262295081967213	273	0.48717948717948717	37	0.5945945945945946	35	0.5142857142857142	152	0.4868421052631579	142	0.49295774647887325	143	0.5314685314685315	97	0.4948453608247423	37	0.7027027027027027	
-7	58	0.41379310344827586	95	0.5052631578947369	143	0.5244755244755245	45	0.5777777777777777	119	0.5462184873949579	65	0.5384615384615384	85	0.47058823529411764	24	0.5833333333333334	80	0.4875	66	0.3939393939393939	234	0.5427350427350427	39	0.48717948717948717	164	0.5	54	0.5	182	0.5	51	0.6078431372549019	82	0.573170731707317	179	0.5251396648044693	133	0.556390977443609	32	0.5625	65	0.5384615384615384	197	0.48223350253807107	17	0.4117647058823529	157	0.5414012738853503	34	0.4411764705882353	176	0.5056818181818182	161	0.5093167701863354	160	0.5125	
-8	70	0.5142857142857142	101	0.4752475247524752	66	0.5909090909090909	221	0.4751131221719457	29	0.5517241379310345	176	0.48295454545454547	25	0.32	84	0.4880952380952381	69	0.37681159420289856	134	0.48507462686567165	79	0.5063291139240507	109	0.4954128440366973	103	0.47572815533980584	112	0.48214285714285715	85	0.5176470588235295	188	0.5212765957446809	76	0.47368421052631576	52	0.28846153846153844	95	0.5157894736842106	115	0.4782608695652174	24	0.3333333333333333	85	0.5176470588235295	82	0.5365853658536586	60	0.48333333333333334	154	0.4805194805194805	87	0.5287356321839081	35	0.34285714285714286	215	0.5023255813953489	
-9	173	0.5664739884393064	104	0.47115384615384615	223	0.5381165919282511	72	0.5138888888888888	113	0.504424778761062	75	0.4533333333333333	138	0.47101449275362317	76	0.5394736842105263	60	0.4	244	0.48360655737704916	85	0.4588235294117647	208	0.5144230769230769	29	0.4482758620689655	101	0.5148514851485149	58	0.41379310344827586	139	0.49640287769784175	44	0.6590909090909091	163	0.4662576687116564	95	0.47368421052631576	182	0.510989010989011	91	0.5274725274725275	99	0.5353535353535354	19	0.5263157894736842	137	0.5328467153284672	65	0.46153846153846156	37	0.5135135135135135	125	0.52	142	0.44366197183098594	
